user,session,timepress,timerelease,keycode,keyname
6,1,2390,2453,97,numpad_1
6,1,2687,2750,13,enter
6,2,0,63,105,numpad_9
6,2,328,406,97,numpad_1
6,2,563,641,100,numpad_4
6,2,813,891,97,numpad_1
6,2,1125,1203,105,numpad_9
6,2,1391,1453,99,numpad_3
6,2,1703,1766,103,numpad_7
6,2,1969,2031,103,numpad_7
6,2,2219,2281,102,numpad_6
6,2,2516,2578,97,numpad_1
6,2,2797,2859,13,enter
6,3,0,63,105,numpad_9
6,3,344,422,97,numpad_1
6,3,625,704,100,numpad_4
6,3,891,954,97,numpad_1
6,3,1188,1250,105,numpad_9
6,3,1469,1532,99,numpad_3
6,3,1766,1844,103,numpad_7
6,3,2032,2094,103,numpad_7
6,3,2297,2360,102,numpad_6
6,3,2579,2641,97,numpad_1
6,3,2860,2922,13,enter
6,4,0,63,105,numpad_9
6,4,344,406,97,numpad_1
6,4,547,625,100,numpad_4
6,4,766,844,97,numpad_1
6,4,1047,1125,105,numpad_9
6,4,1297,1360,99,numpad_3
6,4,1578,1641,103,numpad_7
6,4,1750,1813,103,numpad_7
6,4,2000,2063,102,numpad_6
6,4,2281,2360,97,numpad_1
6,4,2578,2641,13,enter
6,5,0,78,105,numpad_9
6,5,343,421,97,numpad_1
6,5,546,625,100,numpad_4
6,5,781,843,97,numpad_1
6,5,1078,1140,105,numpad_9
6,5,1312,1390,99,numpad_3
6,5,1609,1671,103,numpad_7
6,5,1781,1843,103,numpad_7
6,5,2031,2093,102,numpad_6
6,5,2296,2375,97,numpad_1
6,5,2593,2656,13,enter
6,6,0,78,105,numpad_9
6,6,328,422,97,numpad_1
6,6,578,656,100,numpad_4
6,6,813,891,97,numpad_1
6,6,1110,1172,105,numpad_9
6,6,1360,1438,99,numpad_3
6,6,1656,1735,103,numpad_7
6,6,1844,1906,103,numpad_7
6,6,2110,2172,102,numpad_6
6,6,2406,2469,97,numpad_1
6,6,2703,2766,13,enter
